  ENERO 2007,,,,
TOTAL,22768,22597,38899,1.721
  DICIEMBRE 2017,,,,
Acateno,130,130,169,1.3
Atempan,148,148,259,1.75
Atlequizayan,160,160,272,1.7
Ayotoxco de Guerrero,750,750,1050,1.4
Caxhuacan,278,278,417,1.5
Cuetzalan del Progreso,4835,4790,6582,1.374
Huehuetla,1276,1266,2279,1.8
Hueyapan,670,670,1206,1.8
Hueytamalco,4800,4800,9600,2
Hueytlalpan,506,498,896,1.8
Huitzilan de Serdán,1815,1800,3420,1.9
Ixtepec,410,400,640,1.6
Jonotla,721,706,1057,1.497
Olintla,1160,1150,1840,1.6
Teziutlán,200,200,400,2
Tlatlauquitepec,1680,1680,3360,2
Tuzamapan de Galeana,642,635,952,1.498
Xochitlán de Vicente Suárez,710,700,1018,1.455
Yaonáhuac,210,210,378,1.8
Zacapoaxtla,25,22,33,1.5
Zapotitlán de Méndez,496,480,864,1.801
Zongozotla,936,922,1844,2
Zoquiapan,210,202,362,1.794
TOTAL,22768,22597,38899,1.721
  ENERO 2018,,,,
Acateno,130,129,145,1.124
Atempan,148,146,186,1.274
Atlequizayan,160,160,223,1.394
Ayotoxco de Guerrero,750,745,674,0.905
Caxhuacan,278,268,365,1.362
Cuetzalan del Progreso,4835,4722,5626,1.191
Huehuetla,1276,1233,1834,1.487
Hueyapan,670,668,761,1.139
Hueytamalco,4800,4790,6624,1.383
Hueytlalpan,506,506,624,1.233
Huitzilan de Serdán,1815,1645,2467,1.5
Ixtepec,410,410,493,1.202
Jonotla,721,717,860,1.2
Olintla,1160,1156,1375,1.189
Teziutlán,201,200,276,1.38
Tlatlauquitepec,1683,1680,2419,1.44
Tuzamapan de Galeana,642,642,791,1.232
Xochitlán de Vicente Suárez,710,710,958,1.349
Yaonáhuac,210,207,265,1.28
Zacapoaxtla,25,25,32,1.28
Zapotitlán de Méndez,496,496,725,1.462
Zongozotla,936,936,1628,1.739
Zoquiapan,212,212,288,1.359
TOTAL,22774,22403,29640,1.323
  FEBRERO 2018,,,,
Acateno,130,129,187,1.451
Atempan,148,146,264,1.809
Atlequizayan,160,160,310,1.935
Ayotoxco de Guerrero,750,745,1011,1.357
Caxhuacan,278,268,507,1.89
Cuetzalan del Progreso,4835,4722,7358,1.558
Huehuetla,1276,1233,2358,1.913
Hueyapan,670,668,1079,1.615
Hueytamalco,4800,4790,9936,2.074
Hueytlalpan,506,506,865,1.71
Huitzilan de Serdán,1815,1645,3496,2.125
Ixtepec,410,410,683,1.665
Jonotla,721,717,1193,1.664
Olintla,1160,1156,1769,1.53
Teziutlán,201,200,391,1.955
Tlatlauquitepec,1683,1680,3427,2.04
Tuzamapan de Galeana,642,642,1096,1.708
Xochitlán de Vicente Suárez,710,710,1358,1.913
Yaonáhuac,210,207,375,1.811
Zacapoaxtla,25,25,46,1.828
Zapotitlán de Méndez,496,496,949,1.913
Zongozotla,936,936,2307,2.465
Zoquiapan,212,212,400,1.886
TOTAL,22774,22403,41364,1.846
  MARZO 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
